metric,mean,std,min,max
iou,0.3140478454530239,0.028915735478284018,0.20081858336925507,0.3320558965206146
dice,0.4574575424194336,0.04550226032733917,0.271161288022995,0.48256930708885193
mae,9.3475,1.9926842762966739,7.7375,16.9625
rmse,13.138958237711936,2.519975481559623,10.540398474441087,20.96813057952473
epochs_trained,90.35,9.414217970707924,70.0,100.0
val_loss,0.8632177174091339,0.04375964547686775,0.8346044421195984,1.0329749584197998
