iou,dice,mae,rmse,epochs_trained,val_loss
0.32134687900543213,0.46735173,8.6875,11.84324702098204,70,0.8492034673690796
0.32604047656059265,0.4779455,9.275,16.51211676315305,100,0.8449257016181946
0.3250105381011963,0.47174495,7.8375,10.706890304845754,100,0.8483794927597046
0.32850319147109985,0.47716832,9.475,13.288152618027834,89,0.8427523374557495
0.3153553307056427,0.46224633,9.3625,14.849663295846138,81,0.8593502044677734
0.32233062386512756,0.46829504,10.4,16.07404740567851,100,0.8577025532722473
0.33105936646461487,0.4825693,8.0125,10.905847055593618,89,0.8346044421195984
0.31200143694877625,0.45762032,9.8125,14.359230480774379,90,0.8689990043640137
0.327228844165802,0.47879416,8.975,12.101652779682617,84,0.8393286466598511
0.3237244486808777,0.47503757,7.8375,11.534188311277044,75,0.8463238477706909
0.32643404603004456,0.47249943,8.3375,11.328614213574404,98,0.8434251546859741
0.32694488763809204,0.47882992,8.375,12.071661029038216,87,0.8458687663078308
0.20081858336925507,0.2711613,16.9625,20.96813057952473,100,1.0329749584197998
0.313217431306839,0.46376872,7.7375,11.021002676707777,100,0.8616811037063599
0.31902286410331726,0.46768278,9.625,13.874436925511608,94,0.854557991027832
0.26972851157188416,0.40515098,11.625,14.730071282923243,86,0.9338893890380859
0.3206731081008911,0.46628675,7.975,10.540398474441087,75,0.8497411608695984
0.31876444816589355,0.46252623,8.725,12.437845472588892,100,0.8530083894729614
0.32069599628448486,0.46894702,9.575,12.894766380202473,100,0.8555986285209656
0.3320558965206146,0.4735244,8.3375,10.737201683865308,89,0.8420391082763672
